id,block,total,aCount,abCount,bCount,bcCount,cCount,dCount,fCount,letter
4675,"GEN&WS/POLI SCI 933",96,55,32,1,1,1,0,0,A
4676,"GEN&WS/HISTORY 938",40,36,4,0,0,0,0,0,A
4677,"GEN&WS 950",41,37,2,1,0,0,0,0,A
4678,"GEN&WS 990",1,0,0,0,0,0,0,0,N/A
4679,"GEN&WS 999",0,0,0,0,0,0,0,0,N/A
4680,"GEN BUS 106",1242,0,0,0,0,0,0,0,N/A
4681,"GEN BUS 110",5333,4586,382,213,57,59,16,19,A
4682,"GEN BUS 198",0,0,0,0,0,0,0,0,N/A
4683,"GEN BUS 206",22,8,2,8,3,0,0,0,B
4684,"GEN BUS 207",16,8,1,5,1,1,0,0,B
4685,"GEN BUS/DS 240",425,131,109,99,42,31,7,4,B
4686,"GEN BUS 250",9,0,0,0,0,0,0,0,N/A
4687,"GEN BUS 301",13660,1968,2445,5202,2187,1352,154,23,B
4688,"GEN BUS 302",2197,990,533,440,177,46,0,1,A
4689,"GEN BUS 306",6810,1613,1192,2113,917,739,53,22,B
4690,"GEN BUS 307",5887,1235,1905,1174,803,379,148,6,B
4691,"GEN BUS 308",2197,990,533,440,177,46,0,1,A
4692,"GEN BUS 310",4496,890,1107,1354,645,276,51,39,B
4693,"GEN BUS 311",5006,1463,1564,1160,385,231,43,57,B
4694,"GEN BUS 317",5887,1235,1905,1174,803,379,148,6,B
4695,"GEN BUS/INTL BUS 320",753,576,153,19,1,1,0,0,A
4696,"GEN BUS 360",2449,1113,1099,175,35,8,3,11,A
4697,"GEN BUS 365",5616,3174,984,936,254,185,29,18,A
4698,"GEN BUS 370",115,89,17,8,0,1,0,0,A
4699,"GEN BUS 399",88,88,0,0,0,0,0,0,A
4700,"GEN BUS 450",9,0,0,0,0,0,0,0,N/A
4701,"GEN BUS 451",3,0,0,0,0,0,0,0,N/A
4702,"GEN BUS 656",515,249,193,50,15,3,0,2,A
4703,"GEN BUS 700",1029,808,195,23,1,1,0,0,A
4704,"GEN BUS/R M I 701",350,222,83,33,0,0,1,0,A
4705,"GEN BUS 704",1400,487,598,301,8,2,0,2,A
4706,"GEN BUS 705",64,38,15,11,0,0,0,0,A
4707,"GEN BUS 710",1330,656,485,155,20,12,1,0,A
4708,"GEN BUS 711",107,81,7,13,1,5,0,0,A
4709,"GEN BUS 712",107,81,7,13,1,5,0,0,A
4710,"GEN BUS 713",82,70,5,7,0,0,0,0,A
4711,"GEN BUS 714",107,81,7,13,1,5,0,0,A
4712,"GEN BUS 720",630,319,263,46,1,0,0,0,A
4713,"GEN BUS 725",153,82,57,14,0,0,0,0,A
4714,"GEN BUS 730",387,225,119,36,1,3,0,1,A
4715,"GEN BUS 740",510,266,188,52,3,1,0,0,A
4716,"GEN BUS 745",74,54,7,9,1,0,0,3,A
4717,"GEN BUS 746",84,81,0,2,1,0,0,0,A
4718,"GEN BUS 750",4,0,0,0,0,0,0,0,N/A
4719,"GEN BUS 760",487,325,131,27,2,1,0,1,A
4720,"GEN BUS 765",3259,1899,1071,259,9,4,1,4,A
4721,"GEN BUS/ECON/STAT 775",366,223,79,37,2,4,0,0,A
4722,"GEN BUS 777",133,76,41,15,0,1,0,0,A
4723,"GEN BUS 780",221,212,5,3,0,1,0,0,A
4724,"GEN BUS/ACCT I S/E P D 781",13,10,3,0,0,0,0,0,A
4725,"GEN BUS/E P D/MARKETNG 782",89,88,1,0,0,0,0,0,A
4726,"GEN BUS/E P D/M H R 783",92,87,5,0,0,0,0,0,A
4727,"GEN BUS/E P D/OTM 784",25,17,8,0,0,0,0,0,A
4728,"GEN BUS/E P D/M H R 785",64,38,15,11,0,0,0,0,A
4729,"GEN BUS 790",150,110,31,8,0,1,0,0,A
4730,"GEN BUS 791",107,81,7,13,1,5,0,0,A
4731,"GEN BUS 792",0,0,0,0,0,0,0,0,N/A
4732,"GEN BUS 799",0,0,0,0,0,0,0,0,N/A
4733,"GEN BUS 806",85,78,5,1,0,0,0,0,A
4734,"GEN BUS 840",212,205,3,0,3,1,0,0,A
4735,"GEN BUS 881",21,21,0,0,0,0,0,0,A
4736,"GEN BUS 882",21,20,1,0,0,0,0,0,A
4737,"GEN BUS 883",21,20,1,0,0,0,0,0,A
4738,"GEN BUS 884",21,21,0,0,0,0,0,0,A
4739,"GEN BUS 885",21,21,0,0,0,0,0,0,A
4740,"GEN BUS 886",21,21,0,0,0,0,0,0,A
4741,"GEN BUS 888",21,21,0,0,0,0,0,0,A
4742,"GEN BUS 891",21,21,0,0,0,0,0,0,A
4743,"GEN BUS 893",21,20,1,0,0,0,0,0,A
4744,"GEN BUS 894",212,205,3,0,3,1,0,0,A
4745,"GEN BUS 895",15,15,0,0,0,0,0,0,A
4746,"GEN BUS 933",112,0,0,0,0,0,0,0,N/A
4747,"GEN BUS 999",0,0,0,0,0,0,0,0,N/A
4748,"GENECSLR 713",16,16,0,0,0,0,0,0,A
4749,"GENECSLR 714",8,7,1,0,0,0,0,0,A
4750,"GENECSLR 721",8,0,0,0,0,0,0,0,N/A
4751,"GENECSLR 724",8,8,0,0,0,0,0,0,A
4752,"GENECSLR 731",16,0,0,0,0,0,0,0,N/A
