id,block,total,aCount,abCount,bCount,bcCount,cCount,dCount,fCount,letter
8472,"PHM SCI 775",26,22,4,0,0,0,0,0,A
8473,"PHM SCI 780",233,145,71,13,0,1,0,1,A
8474,"PHM SCI 786",80,29,31,18,0,0,0,0,A
8475,"PHM SCI 931",190,190,0,0,0,0,0,0,A
8476,"PHM SCI 932",240,180,0,0,0,0,0,0,A
8477,"PHM SCI 990",441,0,0,0,0,0,0,0,N/A
8478,"PHM SCI 999",72,72,0,0,0,0,0,0,A
8479,"PHMCOL-M/PHM SCI 522",2322,1066,405,610,152,72,8,2,B
8480,"PHMCOL-M/B M E/MED PHYS/PHYSICS/RADIOL 619",363,241,97,15,2,0,0,0,A
8481,"PHMCOL-M/M&ENVTOX/ONCOLOGY/PHM SCI/POP HLTH 625",530,267,93,150,13,3,0,1,A
8482,"PHMCOL-M/M&ENVTOX/PATH/PHM SCI/POP HLTH 626",348,239,69,32,4,1,0,0,A
8483,"PHMCOL-M 699",0,0,0,0,0,0,0,0,N/A
8484,"PHMCOL-M 715",7,7,0,0,0,0,0,0,A
8485,"PHMCOL-M 739",37,35,2,0,0,0,0,0,A
8486,"PHMCOL-M 781",67,46,13,7,0,0,0,0,A
8487,"PHMCOL-M 875",227,186,29,6,0,0,0,0,A
8488,"PHMCOL-M 901",1211,1095,85,18,4,4,1,1,A
8489,"PHMCOL-M 990",228,0,0,0,0,0,0,0,N/A
8490,"PHARMACY 125",401,381,13,7,0,0,0,0,A
8491,"PHARMACY 126",112,112,0,0,0,0,0,0,A
8492,"PHARMACY 225",41,41,0,0,0,0,0,0,A
8493,"PHARMACY 423",430,421,7,2,0,0,0,0,A
8494,"PHARMACY 434",102,69,15,8,9,1,0,0,A
8495,"PHARMACY 451",8,8,0,0,0,0,0,0,A
8496,"PHARMACY 490",134,129,1,3,1,0,0,0,A
8497,"PHARMACY 563",128,116,4,2,0,1,0,1,A
8498,"PHARMACY 564",15,13,2,0,0,0,0,0,A
8499,"PHARMACY/I SY E 608",1304,876,352,59,15,1,0,0,A
8500,"PHARMACY 612",84,50,18,8,6,1,0,0,A
8501,"PHARMACY 621",101,39,24,18,10,9,1,0,B
8502,"PHARMACY 630",79,79,0,0,0,0,0,0,A
8503,"PHARMACY 632",2465,1308,617,429,78,26,6,0,A
8504,"PHARMACY 640",426,307,82,30,4,1,0,0,A
8505,"PHARMACY 645",1287,597,170,451,45,20,1,1,B
8506,"PHARMACY 658",12,11,1,0,0,0,0,0,A
8507,"PHARMACY 671",78,69,5,1,0,0,0,0,A
8508,"PHARMACY 674",156,120,20,5,1,0,0,2,A
8509,"PHARMACY 770",102,80,18,3,0,1,0,0,A
8510,"PHARMACY 771",58,42,14,1,0,0,0,0,A
8511,"PHARMACY 800",193,155,27,7,1,1,0,1,A
8512,"PHARMACY 801",20,19,0,0,0,0,0,1,A
8513,"PHM PRAC 305",1197,230,225,296,190,176,60,12,BC
8514,"PHM PRAC 426",2116,1787,191,32,3,3,2,3,A
8515,"PHM PRAC 438",197,43,50,55,21,17,3,0,B
8516,"PHM PRAC 461",834,794,31,5,3,1,0,0,A
8517,"PHM PRAC 462",230,95,0,1,0,1,0,1,A
8518,"PHM PRAC 463",125,98,1,0,0,0,0,0,A
8519,"PHM PRAC 464",218,117,3,0,0,1,0,0,A
8520,"PHM PRAC 465",219,92,2,2,1,0,0,0,A
8521,"PHM PRAC 468",54,53,1,0,0,0,0,0,A
8522,"PHM PRAC 469",21,20,1,0,0,0,0,0,A
8523,"PHM PRAC 471",44,44,0,0,0,0,0,0,A
8524,"PHM PRAC 490",2210,1868,179,105,19,17,4,3,A
8525,"PHM PRAC 526",2176,1997,130,33,4,5,2,4,A
8526,"PHM PRAC 550",1321,768,307,166,29,11,0,0,A
8527,"PHM PRAC 553",1272,878,344,46,2,2,0,0,A
8528,"PHM PRAC 554",1037,609,366,55,4,3,0,0,A
8529,"PHM PRAC 555",2326,542,700,578,314,158,21,7,B
8530,"PHM PRAC 556",1943,317,638,614,267,93,1,10,B
8531,"PHM PRAC 559",261,134,92,27,7,1,0,0,A
8532,"PHM PRAC 560",77,43,28,6,0,0,0,0,A
8533,"PHM PRAC 570",1949,697,682,415,105,38,0,9,B
8534,"PHM PRAC/NURSING 605",266,219,42,4,0,0,0,1,A
8535,"PHM PRAC 610",57,57,0,0,0,0,0,0,A
8536,"PHM PRAC 611",286,215,46,20,3,2,0,0,A
8537,"PHM PRAC 612",84,50,18,8,6,1,0,0,A
8538,"PHM PRAC 617",28,17,8,1,1,0,0,0,A
8539,"PHM PRAC 625",219,198,18,2,1,0,0,0,A
8540,"PHM PRAC 626",1915,1731,61,110,2,8,1,1,A
8541,"PHM PRAC 628",86,86,0,0,0,0,0,0,A
8542,"PHM PRAC 629",53,53,0,0,0,0,0,0,A
8543,"PHM PRAC 638",1150,420,419,216,70,10,1,5,B
8544,"PHM PRAC 650",1659,420,406,404,161,88,1,7,B
8545,"PHM PRAC 653",1284,775,357,111,35,5,1,0,A
8546,"PHM PRAC 654",1026,553,355,95,20,2,0,0,A
8547,"PHM PRAC 655",2315,471,730,686,320,99,0,8,B
8548,"PHM PRAC 656",1937,279,561,559,348,171,0,16,B
8549,"PHM PRAC 657",208,171,30,2,0,0,0,0,A
8550,"PHM PRAC 659",49,36,8,3,1,1,0,0,A
8551,"PHM PRAC 668",111,99,9,1,0,0,0,0,A
8552,"PHM PRAC 670",900,836,39,23,1,0,0,0,A
8553,"PHM PRAC 671",86,83,3,0,0,0,0,0,A
8554,"PHM PRAC 673",0,0,0,0,0,0,0,0,N/A
8555,"PHM PRAC/NURSING 674",207,191,11,3,0,0,0,0,A
8556,"PHM PRAC 677",284,283,1,0,0,0,0,0,A
8557,"PHM PRAC 678",50,45,4,0,0,0,0,0,A
8558,"PHM PRAC 679",130,123,5,1,0,0,0,0,A
8559,"PHM PRAC 691",86,83,3,0,0,0,0,0,A
8560,"PHM PRAC 692",370,358,5,1,0,0,0,0,A
8561,"PHM PRAC 699",370,358,5,1,0,0,0,0,A
8562,"PHM PRAC 740",1434,1101,194,99,28,6,1,1,A
8563,"PHM PRAC 741",1358,1218,109,23,3,2,1,0,A
8564,"PHM PRAC 742",505,473,25,3,1,1,0,0,A
8565,"PHM PRAC 743",438,421,13,3,0,0,0,0,A
8566,"PHM PRAC/NURSING/SOC WORK 746",246,184,53,2,4,0,0,1,A
8567,"PHM PRAC 760",4854,3769,647,313,71,32,6,0,A
8568,"PHM PRAC 764",2,2,0,0,0,0,0,0,A
8569,"PHM PRAC 769",3,3,0,0,0,0,0,0,A
8570,"PHM PRAC 961",145,124,17,4,0,0,0,0,A
8571,"PHM PRAC 962",119,101,15,3,0,0,0,0,A
8572,"PHM PRAC 999",245,224,9,4,0,0,0,0,A
8573,"PHILOS 101",14211,3982,4127,3435,1362,748,204,172,B
8574,"PHILOS 104",758,379,208,131,15,10,3,2,A
8575,"PHILOS 106",14211,3982,4127,3435,1362,748,204,172,B
8576,"PHILOS 141",556,178,199,92,35,12,5,6,B
8577,"PHILOS 201",3280,1093,994,723,220,116,40,45,B
8578,"PHILOS 206",3280,1093,994,723,220,116,40,45,B
8579,"PHILOS 210",4126,1424,826,814,382,376,175,82,B
8580,"PHILOS 211",6559,2471,1650,970,469,457,267,142,B
8581,"PHILOS 220",287,88,64,64,33,19,9,4,B
8582,"PHILOS 241",7110,2778,2021,1479,383,224,64,37,B
8583,"PHILOS 243",1630,918,384,197,79,29,5,9,A
8584,"PHILOS 304",510,283,120,50,15,11,5,2,A
8585,"PHILOS 340",510,283,120,50,15,11,5,2,A
8586,"PHILOS 341",12050,5316,3613,2005,552,238,70,70,A
8587,"PHILOS 430",1484,488,576,271,63,32,8,13,B
8588,"PHILOS 432",1603,592,426,272,137,71,24,31,B
8589,"PHILOS/JEWISH/RELIG ST 435",27,6,10,8,1,0,0,0,B
8590,"PHILOS 440",381,94,127,88,29,12,1,3,B
8591,"PHILOS/ENVIR ST 441",700,173,212,171,66,35,11,10,B
8592,"PHILOS/JEWISH 442",56,31,8,10,2,1,0,0,A
8593,"PHILOS 454",353,142,97,59,12,11,1,4,B
8594,"PHILOS 481",0,0,0,0,0,0,0,0,N/A
8595,"PHILOS 482",0,0,0,0,0,0,0,0,N/A
8596,"PHILOS/RELIG ST 501",378,146,83,70,39,17,5,8,B
8597,"PHILOS 503",380,137,92,81,27,15,4,6,B
8598,"PHILOS 504",106,44,20,24,6,2,0,2,B
8599,"PHILOS/MED HIST 505",165,61,73,16,4,3,3,1,A
8600,"PHILOS 506",873,301,299,152,47,29,9,18,B
8601,"PHILOS 511",139,20,58,43,10,3,0,0,B
8602,"PHILOS 512",138,28,55,34,8,4,3,1,B
8603,"PHILOS/MED HIST 515",149,71,53,13,2,1,0,1,A
8604,"PHILOS 516",420,136,115,92,22,21,1,6,B
8605,"PHILOS 520",179,70,54,30,14,5,0,0,B
8606,"PHILOS 521",69,28,14,7,8,5,0,4,B
8607,"PHILOS 522",84,49,18,7,2,0,1,1,A
8608,"PHILOS/ENVIR ST 523",128,40,34,37,6,3,2,2,B
8609,"PHILOS/ECON 524",146,56,40,23,14,4,2,2,B
8610,"PHILOS 530",218,93,45,37,17,16,3,4,B
8611,"PHILOS/MED HIST 534",79,65,9,0,0,0,0,1,A
8612,"PHILOS 541",489,243,105,85,26,14,3,4,A
8613,"PHILOS 543",95,36,20,27,3,2,1,0,B
8614,"PHILOS/ED POL 545",147,86,39,9,1,2,0,3,A
8615,"PHILOS 549",362,134,94,86,19,11,5,3,B
8616,"PHILOS/ED POL 550",101,45,42,8,0,0,0,2,A
8617,"PHILOS 551",580,162,138,147,62,25,10,9,B
8618,"PHILOS 553",133,25,29,33,16,20,1,2,B
8619,"PHILOS 555",475,241,108,65,18,16,4,5,A
8620,"PHILOS 556",27,17,2,5,0,0,0,0,A
8621,"PHILOS 557",51,49,1,0,0,0,0,0,A
8622,"PHILOS/MED HIST 558",798,255,298,144,49,17,4,3,B
8623,"PHILOS 560",487,157,143,115,28,13,2,2,B
8624,"PHILOS 562",286,101,100,43,9,10,5,3,B
8625,"PHILOS/AGRONOMY/C&E SOC/MED HIST 565",229,80,79,39,17,8,0,1,B
8626,"PHILOS 566",54,14,13,15,4,4,0,3,B
8627,"PHILOS 567",51,49,1,0,0,0,0,0,A
8628,"PHILOS/MATH 571",236,77,35,45,18,27,16,12,BC
8629,"PHILOS 581",0,0,0,0,0,0,0,0,N/A
8630,"PHILOS 582",0,0,0,0,0,0,0,0,N/A
8631,"PHILOS 599",16,16,0,0,0,0,0,0,A
8632,"PHILOS 681",0,0,0,0,0,0,0,0,N/A
8633,"PHILOS 682",4,4,0,0,0,0,0,0,A
8634,"PHILOS 691",0,0,0,0,0,0,0,0,N/A
8635,"PHILOS 692",0,0,0,0,0,0,0,0,N/A
8636,"PHILOS 698",12,11,0,1,0,0,0,0,A
8637,"PHILOS 699",0,0,0,0,0,0,0,0,N/A
8638,"PHILOS 701",41,11,0,0,0,0,0,0,A
8639,"PHILOS 799",31,0,0,0,0,0,0,0,N/A
8640,"PHILOS/CLASSICS 830",119,76,13,0,0,0,0,0,A
8641,"PHILOS 835",122,87,15,4,0,0,0,0,A
8642,"PHILOS 902",75,71,2,1,0,0,0,0,A
8643,"PHILOS 903",72,41,6,4,0,0,0,0,A
8644,"PHILOS 904",35,35,0,0,0,0,0,0,A
8645,"PHILOS 911",29,5,3,2,0,0,0,0,A
8646,"PHILOS 916",53,27,6,0,1,0,0,1,A
8647,"PHILOS 920",195,122,22,5,0,1,0,1,A
8648,"PHILOS 941",204,124,40,19,0,1,0,1,A
8649,"PHILOS 951",186,124,18,11,0,1,0,0,A
8650,"PHILOS 955",111,85,7,1,0,0,0,1,A
8651,"PHILOS 960",141,86,13,2,3,2,0,0,A
8652,"PHILOS 990",116,0,0,0,0,0,0,0,N/A
8653,"PHILOS 999",10,4,0,0,0,0,0,0,A
8654,"PHY THER 500",236,129,70,32,0,0,0,0,A
8655,"PHY THER 501",40,13,26,1,0,0,0,0,A
8656,"PHY THER 512",548,528,18,2,0,0,0,0,A
8657,"PHY THER 521",40,13,26,1,0,0,0,0,A
8658,"PHY THER 523",667,411,224,30,0,0,0,0,A
8659,"PHY THER 527",710,414,270,20,0,0,0,0,A
8660,"PHY THER 534",631,275,325,31,0,0,0,0,A
8661,"PHY THER 538",0,0,0,0,0,0,0,0,N/A
8662,"PHY THER 539",632,630,1,0,0,0,0,0,A
8663,"PHY THER 540",593,592,0,0,0,0,0,0,A
8664,"PHY THER 541",590,587,0,0,0,0,0,0,A
8665,"PHY THER 542",315,310,5,0,0,0,0,0,A
8666,"PHY THER 543",235,189,1,4,0,0,0,0,A
8667,"PHY THER 627",712,214,312,163,14,7,0,0,A
8668,"PHY THER 628",592,196,297,94,3,1,0,0,A
8669,"PHY THER 635",704,254,398,50,0,0,0,0,A
8670,"PHY THER 636",585,195,350,39,0,0,0,0,A
8671,"PHY THER 640",592,343,216,31,0,0,0,0,A
8672,"PHY THER 641",4,0,0,0,0,0,0,0,N/A
8673,"PHY THER 642",15,12,1,1,0,0,0,0,A
8674,"PHY THER 643",43,0,0,0,0,0,0,0,N/A
8675,"PHY THER 664",670,170,426,71,1,0,0,0,A
8676,"PHY THER 665",629,216,345,68,0,0,0,0,A
8677,"PHY THER 668",670,170,426,71,1,0,0,0,A
8678,"PHY THER 675",704,156,449,94,0,0,0,0,A
8679,"PHY THER 676",704,156,449,94,0,0,0,0,A
8680,"PHY THER 677",585,169,350,64,0,0,0,0,A
8681,"PHY THER 678",592,196,297,94,3,1,0,0,A
8682,"PHY THER 679",704,156,449,94,0,0,0,0,A
8683,"PHY THER 700",40,0,0,0,0,0,0,0,N/A
8684,"PHY THER 701",3,0,0,0,0,0,0,0,N/A
8685,"PHY THER 702",3,0,0,0,0,0,0,0,N/A
8686,"PHY THER 703",15,0,0,0,0,0,0,0,N/A
8687,"PHY THER 704",8,0,0,0,0,0,0,0,N/A
8688,"PHY THER 705",41,0,0,0,0,0,0,0,N/A
8689,"PHY THER 706",116,0,0,0,0,0,0,0,N/A
8690,"PHY THER 799",320,295,20,0,0,0,0,0,A
8691,"PHY ASST 550",206,133,52,15,2,2,0,0,A
8692,"PHY ASST 601",677,223,319,115,17,2,0,0,A
8693,"PHY ASST 602",557,210,275,67,4,0,0,0,A
8694,"PHY ASST 603",543,170,263,93,17,0,0,0,A
8695,"PHY ASST 610",116,68,36,5,0,0,0,0,A
8696,"PHY ASST 611",227,140,27,0,0,0,0,0,A
8697,"PHY ASST 616",112,112,0,0,0,0,0,0,A
8698,"PHY ASST 617",35,27,0,0,0,0,0,0,A
8699,"PHY ASST 618",59,0,0,0,0,0,0,0,N/A
8700,"PHY ASST 619",146,124,18,2,1,0,0,0,A
8701,"PHY ASST 620",607,364,210,28,3,0,0,0,A
8702,"PHY ASST 621",551,517,27,3,0,0,0,0,A
8703,"PHY ASST 629",146,124,18,2,1,0,0,0,A
8704,"PHY ASST 630",669,217,288,130,26,7,0,0,A
8705,"PHY ASST 640",685,187,275,156,60,5,0,0,B
8706,"PHY ASST 641",567,150,252,140,24,0,0,0,B
8707,"PHY ASST 648",553,171,256,108,16,2,0,0,A
8708,"PHY ASST 650",675,188,305,151,25,5,0,0,B
8709,"PHY ASST 651",557,177,273,93,13,0,0,0,A
8710,"PHY ASST 660",59,0,0,0,0,0,0,0,N/A
8711,"PHY ASST 662",47,46,1,0,0,0,0,0,A
8712,"PHY ASST 663",15,0,0,0,0,0,0,0,N/A
8713,"PHY ASST 670",669,217,288,130,26,7,0,0,A
8714,"PHY ASST 699",237,193,27,9,0,0,0,0,A
8715,"PHY ASST 700",135,36,55,33,9,0,0,2,B
8716,"PHY ASST 716",112,112,0,0,0,0,0,0,A
8717,"PHY ASST 717",11,0,0,0,0,0,0,0,N/A
8718,"PHY ASST 718",62,0,0,0,0,0,0,0,N/A
8719,"PHY ASST 729",401,232,133,25,2,1,1,0,A
8720,"PHY ASST 739",357,233,98,17,3,0,0,0,A
8721,"PHY ASST 749",407,252,128,16,1,0,0,1,A
8722,"PHY ASST 759",428,291,112,12,1,0,0,0,A
8723,"PHY ASST 769",449,437,9,1,0,0,0,0,A
8724,"PHY ASST 787",1,0,0,0,0,0,0,0,N/A
8725,"PHYSICS 103",18025,3718,3883,4054,3395,2497,189,101,B
8726,"PHYSICS 104",14504,3299,3107,3167,2531,1960,141,70,B
8727,"PHYSICS 106",90,43,15,12,9,3,6,1,B
8728,"PHYSICS 107",1506,614,332,343,101,47,9,12,B
8729,"PHYSICS 109",7686,2597,2132,1652,719,396,64,58,B
8730,"PHYSICS 115",2352,874,475,602,227,111,21,13,B
8731,"PHYSICS 198",0,0,0,0,0,0,0,0,N/A
8732,"PHYSICS 199",1,1,0,0,0,0,0,0,A
8733,"PHYSICS 201",8000,1548,1495,1668,1425,1373,319,66,BC
8734,"PHYSICS 202",13610,2682,2360,3065,2523,2537,311,40,BC
8735,"PHYSICS 205",571,175,106,125,42,102,12,4,B
8736,"PHYSICS 206",68,31,10,16,4,5,0,1,B
8737,"PHYSICS 207",7016,1364,1686,1900,1122,633,152,72,B
8738,"PHYSICS 208",6785,1498,1442,1915,1110,594,146,26,B
8739,"PHYSICS/E C E 235",1443,481,253,335,192,147,14,8,B
8740,"PHYSICS 241",1302,326,216,294,207,176,29,31,B
8741,"PHYSICS 247",1159,411,247,259,123,80,20,9,B
8742,"PHYSICS 248",728,267,171,158,71,34,15,5,B
8743,"PHYSICS 249",655,196,160,170,66,40,10,7,B
8744,"PHYSICS/MED PHYS 265",269,64,61,107,19,5,1,1,B
8745,"PHYSICS 298",0,0,0,0,0,0,0,0,N/A
8746,"PHYSICS 299",3,2,0,0,0,0,0,0,A
8747,"PHYSICS 301",551,464,52,7,0,0,0,7,A
8748,"PHYSICS 307",1111,608,298,117,47,14,6,11,A
8749,"PHYSICS 311",1645,467,349,402,183,125,40,42,B
8750,"PHYSICS 321",603,145,127,162,81,53,23,7,B
8751,"PHYSICS 322",1446,401,244,455,116,121,40,28,B
8752,"PHYSICS 323",37,19,6,7,2,2,0,0,A
8753,"PHYSICS 325",390,111,99,96,45,19,7,3,B
8754,"PHYSICS 361",551,464,52,7,0,0,0,7,A
8755,"PHYSICS 371",194,57,65,43,10,3,2,3,B
8756,"PHYSICS 406",144,87,16,24,1,7,2,2,A
8757,"PHYSICS 407",331,119,130,61,14,2,0,2,A
8758,"PHYSICS 415",1042,324,212,269,102,76,23,18,B
8759,"PHYSICS 448",807,272,139,190,83,56,26,18,B
8760,"PHYSICS 449",533,164,123,135,47,30,14,2,B
8761,"PHYSICS/ENVIR ST 472",88,29,12,31,11,3,0,1,B
8762,"PHYSICS 498",0,0,0,0,0,0,0,0,N/A
8763,"PHYSICS 499",2,2,0,0,0,0,0,0,A
8764,"PHYSICS/B M E/H ONCOL/MED PHYS 501",398,181,160,39,12,4,0,0,A
8765,"PHYSICS/E C E/N E 525",548,211,136,128,39,15,6,5,B
8766,"PHYSICS/E C E/N E 527",163,82,53,18,3,3,2,1,A
8767,"PHYSICS 531",493,162,105,101,51,28,11,7,B
8768,"PHYSICS 535",162,105,31,19,1,0,1,0,A
8769,"PHYSICS 545",163,56,55,41,4,1,1,0,B
8770,"PHYSICS/E C E 546",49,31,11,2,0,2,0,0,A
8771,"PHYSICS 551",619,331,160,106,9,3,1,2,A
8772,"PHYSICS/MED PHYS 588",33,13,10,7,3,0,0,0,A
8773,"PHYSICS 601",47,47,0,0,0,0,0,0,A
8774,"PHYSICS 603",18,17,1,0,0,0,0,0,A
8775,"PHYSICS/B M E/MED PHYS/PHMCOL-M/RADIOL 619",363,241,97,15,2,0,0,0,A
8776,"PHYSICS 623",250,96,70,59,8,3,1,0,A
8777,"PHYSICS 625",333,137,130,42,10,2,0,0,A
8778,"PHYSICS 681",1,0,0,0,0,0,0,0,N/A
8779,"PHYSICS 682",3,1,0,1,0,0,0,0,A
8780,"PHYSICS 691",0,0,0,0,0,0,0,0,N/A
8781,"PHYSICS 692",2,2,0,0,0,0,0,0,A
8782,"PHYSICS 701",233,0,0,0,0,0,0,0,N/A
8783,"PHYSICS 707",7,7,0,0,0,0,0,0,A
8784,"PHYSICS 709",145,64,25,44,5,1,1,0,A
8785,"PHYSICS 711",555,220,142,174,8,3,0,0,A
8786,"PHYSICS 715",547,240,149,134,11,1,0,3,A
8787,"PHYSICS 716",16,13,0,1,0,0,0,0,A
8788,"PHYSICS 717",96,56,8,24,1,1,0,0,A
8789,"PHYSICS 721",731,259,214,204,27,13,1,4,B
8790,"PHYSICS/E C E/N E 724",166,80,54,23,3,1,0,0,A
8791,"PHYSICS/E C E/N E 725",178,67,63,37,3,1,0,0,A
8792,"PHYSICS/E C E/N E 726",152,62,43,41,2,2,0,0,A
8793,"PHYSICS 731",679,297,223,133,6,1,1,1,A
8794,"PHYSICS 732",488,208,142,121,7,2,0,2,A
8795,"PHYSICS 735",190,127,43,13,2,1,0,1,A
8796,"PHYSICS 736",85,31,39,8,4,1,0,0,A
8797,"PHYSICS/E C E 746",63,39,12,8,1,0,0,0,A
8798,"PHYSICS/E C E 748",150,121,26,0,0,0,0,0,A
8799,"PHYSICS/E C E/N E 749",0,0,0,0,0,0,0,0,N/A
8800,"PHYSICS 751",72,57,6,5,0,0,0,0,A
8801,"PHYSICS 772",146,52,63,26,1,0,0,0,A
8802,"PHYSICS 779",72,35,22,10,1,1,0,0,A
8803,"PHYSICS 799",9,7,0,1,0,0,0,0,A
8804,"PHYSICS 801",244,190,32,17,1,0,0,0,A
8805,"PHYSICS 805",306,281,13,3,0,1,0,1,A
8806,"PHYSICS 831",226,163,41,15,2,0,0,1,A
8807,"PHYSICS 832",157,102,32,12,4,1,0,0,A
8808,"PHYSICS 835",74,66,6,0,0,0,0,0,A
8809,"PHYSICS/E C E 848",86,79,5,0,0,0,0,0,A
8810,"PHYSICS 900",84,57,0,3,0,0,1,0,A
8811,"PHYSICS/ASTRON 910",294,278,0,1,0,0,0,0,A
8812,"PHYSICS/E C E/N E 922",86,72,0,0,0,0,0,0,A
8813,"PHYSICS 990",1332,0,0,0,0,0,0,0,N/A
8814,"PHYSIOL 699",424,413,2,4,1,4,0,0,A
8815,"PHYSIOL 901",310,269,7,13,0,1,0,0,A
8816,"PHYSIOL 990",238,0,0,0,0,0,0,0,N/A
8817,"PL PATH/BOTANY 123",4004,1484,932,883,295,244,72,25,B
8818,"PL PATH/ZOOLOGY 154",168,162,5,1,0,0,0,0,A
8819,"PL PATH/HORT 261",287,113,41,60,19,22,8,6,B
8820,"PL PATH/HORT 262",18,14,3,1,0,0,0,0,A
8821,"PL PATH 289",23,22,0,0,1,0,0,0,A
8822,"PL PATH 299",23,22,0,0,1,0,0,0,A
8823,"PL PATH 300",1024,386,161,291,81,79,10,3,B
8824,"PL PATH/F&W ECOL/HORT/LAND ARC 309",206,58,54,48,20,22,1,1,B
8825,"PL PATH 311",628,375,156,62,13,9,4,3,A
8826,"PL PATH 315",128,75,29,14,4,1,0,0,A
8827,"PL PATH/SOIL SCI 323",396,242,63,39,22,17,7,2,A
8828,"PL PATH/BOTANY 332",289,121,56,64,25,16,5,1,B
8829,"PL PATH/BOTANY 333",58,12,13,12,5,8,2,1,B
8830,"PL PATH/AGRONOMY/ENTOM/HORT/SOIL SCI 354",24,12,6,4,1,0,0,0,A
8831,"PL PATH/A A E/AGRONOMY/HORT 367",27,17,7,1,0,0,0,0,A
8832,"PL PATH 375",1269,888,195,94,19,14,5,10,A
8833,"PL PATH 399",0,0,0,0,0,0,0,0,N/A
8834,"PL PATH 400",1024,386,161,291,81,79,10,3,B
8835,"PL PATH 499",2,2,0,0,0,0,0,0,A
8836,"PL PATH/BOTANY/ENTOM 505",193,72,53,40,19,2,2,1,B
8837,"PL PATH 517",108,53,28,21,0,1,0,0,A
8838,"PL PATH 558",67,35,20,5,1,2,1,1,A
8839,"PL PATH 559",67,35,20,5,1,2,1,1,A
8840,"PL PATH/BOTANY 563",118,69,11,19,6,1,0,0,A
8841,"PL PATH 590",0,0,0,0,0,0,0,0,N/A
8842,"PL PATH 602",115,80,24,9,1,0,0,0,A
8843,"PL PATH/ENTOM/F&W ECOL/SOIL SCI 606",539,201,34,105,15,39,1,3,B
8844,"PL PATH 622",34,23,6,2,2,1,0,0,A
8845,"PL PATH/ONCOLOGY 640",694,212,137,235,51,35,9,2,B
8846,"PL PATH/BOTANY/GENETICS/M M & I 655",41,29,5,4,0,1,0,0,A
8847,"PL PATH 681",0,0,0,0,0,0,0,0,N/A
8848,"PL PATH 682",0,0,0,0,0,0,0,0,N/A
8849,"PL PATH 699",14,14,0,0,0,0,0,0,A
8850,"PL PATH 799",2,2,0,0,0,0,0,0,A
8851,"PL PATH 800",21,19,0,0,0,0,0,0,A
8852,"PL PATH 801",55,53,0,0,0,0,0,0,A
8853,"PL PATH 875",385,310,17,9,3,1,0,0,A
8854,"PL PATH 923",120,94,9,0,0,0,0,0,A
8855,"PL PATH/BOTANY 930",1,1,0,0,0,0,0,0,A
8856,"PL PATH 990",124,0,0,0,0,0,0,0,N/A
8857,"POLI SCI 100",286,90,116,54,17,5,1,0,B
8858,"POLI SCI 104",12417,1914,2421,3491,2334,1530,372,130,BC
8859,"POLI SCI 120",1682,662,386,274,158,102,33,28,B
8860,"POLI SCI 140",2980,929,895,558,296,170,27,27,B
8861,"POLI SCI 160",1942,766,672,301,76,43,20,26,B
8862,"POLI SCI 170",1150,383,410,144,112,54,25,14,B
8863,"POLI SCI 182",134,62,44,23,1,1,2,0,A
8864,"POLI SCI 184",182,64,42,58,11,6,0,0,B
8865,"POLI SCI 199",0,0,0,0,0,0,0,0,N/A
8866,"POLI SCI 201",232,97,59,36,19,8,4,3,B
8867,"POLI SCI 202",0,0,0,0,0,0,0,0,N/A
8868,"POLI SCI 205",584,160,157,114,69,49,15,11,B
8869,"POLI SCI 206",64,26,9,7,7,6,4,0,B
8870,"POLI SCI/LEGAL ST 217",1976,438,554,524,204,153,29,16,B
8871,"POLI SCI/CHICLA 231",1311,288,357,386,110,98,35,26,B
8872,"POLI SCI/ASIAN/GEOG/HISTORY/SOC 244",1470,597,375,240,87,40,16,26,B
8873,"POLI SCI/GEOG/HISTORY/SLAVIC 253",535,198,137,89,42,27,7,7,B
8874,"POLI SCI/GEOG/HISTORY/SLAVIC 254",384,227,76,32,7,9,4,8,A
8875,"POLI SCI/ASIAN/HISTORY 255",1042,467,228,169,51,46,12,11,B
8876,"POLI SCI/C&E SOC/HISTORY/SOC 259",72,33,2,3,0,2,0,0,A
8877,"POLI SCI/AFROAMER/ANTHRO/C&E SOC/GEOG/HISTORY/LACIS/SOC/SPANISH 260",1388,616,292,229,76,65,12,22,B
8878,"POLI SCI 265",417,67,108,125,50,31,11,9,B
8879,"POLI SCI/CHICLA/HISTORY/LACIS 268",48,23,6,4,4,6,1,0,B
8880,"POLI SCI 270",424,162,102,61,22,19,11,9,B
8881,"POLI SCI 272",473,239,150,55,14,7,1,1,A
8882,"POLI SCI 274",798,188,169,193,100,85,28,24,B
8883,"POLI SCI/AFRICAN/AFROAMER/ANTHRO/GEOG/HISTORY/SOC 277",5865,1626,1688,1319,507,283,82,81,B
8884,"POLI SCI/AFRICAN/AFROAMER/HISTORY 297",71,30,22,13,3,2,1,0,A
8885,"POLI SCI/CHICLA 302",67,26,14,16,3,1,4,3,B
8886,"POLI SCI 304",31,21,2,7,0,0,0,0,A
8887,"POLI SCI 305",544,145,203,97,26,12,2,3,B
8888,"POLI SCI 306",51,19,17,7,1,1,1,1,B
8889,"POLI SCI 311",407,133,128,73,27,22,7,2,B
8890,"POLI SCI 314",142,81,41,15,2,3,0,0,A
8891,"POLI SCI 315",609,591,6,4,1,2,0,0,A
